attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.3760774930330897,0.25597451227670237
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.71532807151038,100.19469050024892
0.0,0.0,635897.0,42936.0,7680.0,8682.0,3974.0,5083.0,2621.6672798308837,1749.231008017021
0.0,0.0,873675.0,71573.0,30048.0,42670.0,9757.0,12137.0,8124.087842222347,6559.720490949091
0.0,0.0,416913.0,163096.0,42889.0,20723.0,21832.0,22591.0,12388.404270912522,9612.886432204923
0.0,0.0,213701.0,86139.0,19490.0,64363.0,40198.0,27048.0,15100.693042032766,9585.887242534094
30.0,30.0,883355.0,84612.0,8137.0,5743.0,7278.0,4250.0,2829.705326810732,1222.8310267689246
44.0,48.0,1768264.0,106985.0,159926.0,25501.0,41881.0,42903.0,15636.039233680489,9714.354482081386
43.0,53.0,293734.0,6606.0,773.0,2849.0,2195.0,690.0,739.30967062727,550.0424223130004
48.0,57.0,101295.0,9517.0,1087.0,4099.0,2647.0,1473.0,991.1199763620446,497.81724590174645
44.0,74.0,161677.0,20357.0,7511.0,3881.0,1123.0,1240.0,886.1580822274594,592.3003684760033
14.0,54.0,88695.0,36993.0,4532.0,5056.0,1108.0,1078.0,550.5204307332378,275.55488359077805
34.0,57.0,183510.0,28350.0,7513.0,18511.0,13863.0,11500.0,5714.47860875544,4088.876093386278
10.0,61.0,1654296.0,312540.0,121435.0,62857.0,17612.0,12118.0,5922.012725728996,4456.89329040469
23.0,74.0,169759.0,16191.0,17600.0,28441.0,20737.0,5258.0,4983.226817828426,3284.758116161107
29.0,91.0,463169.0,74012.0,46225.0,42699.0,3427.0,4716.0,1734.7453619705561,1664.1740919312463
3.0,100.0,351607.0,35761.0,34310.0,50220.0,4953.0,5419.0,2541.2446000390987,1402.564913901756
7.0,100.0,254094.0,45522.0,23772.0,73608.0,17245.0,3968.0,4911.818136965157,2598.7540183499123
1.0,100.0,1059637.0,41770.0,14608.0,50656.0,3973.0,6128.0,2382.113403284335,1013.9374767636505
1.0,100.0,22636.0,4828.0,20048.0,102866.0,8315.0,4224.0,2346.4223859276726,1707.1644156564284
1.0,100.0,116535.0,125623.0,76149.0,9375.0,12114.0,2708.0,3371.96444953381,2441.273799946708
16.0,81.0,298065.0,8181.0,3047.0,2914.0,1724.0,1678.0,833.4860690317443,548.3050453371503
29.0,63.0,811114.0,34864.0,31153.0,9846.0,27304.0,7955.0,5973.123936185005,3579.226141321382
27.0,53.0,96415.0,56044.0,55852.0,77856.0,3765.0,3712.0,1737.625750518969,1473.5016176046279
43.0,60.0,48235.0,8470.0,11045.0,7381.0,3679.0,1138.0,1438.0372787849026,651.6816497125445
24.0,74.0,8917.0,14089.0,12394.0,28281.0,2630.0,1674.0,1078.1834705997592,696.6019204806287
17.0,77.0,84961.0,6698.0,1886.0,7237.0,2219.0,993.0,666.3890428559606,523.5383427313417
29.0,83.0,28843.0,5945.0,24483.0,51666.0,9661.0,4020.0,3623.522405224519,3008.8976964592416
48.0,80.0,11943.0,10635.0,16827.0,7752.0,6169.0,5746.0,2585.289537997509,1697.7861837552064
43.0,61.0,160269.0,44305.0,10912.0,1688.0,2314.0,1066.0,1017.9888913662763,851.6253982975823
47.0,54.0,70025.0,3383.0,1239.0,594.0,1198.0,459.0,453.0636643693732,305.36841797790845
29.0,26.0,179365.0,429285.0,24172.0,64930.0,17849.0,4779.0,4026.708806849444,2144.3475600749916
14.0,24.0,119453.0,11054.0,4221.0,7488.0,2254.0,1016.0,847.6916767101584,754.3384474347995
24.0,38.0,67207.0,5144.0,2799.0,4634.0,838.0,419.0,352.30303927987455,296.1088040881702
17.0,38.0,97416.0,29086.0,9932.0,5083.0,3224.0,1913.0,1284.8088735588328,783.3264295597164
29.0,70.0,4728.0,4367.0,77728.0,86570.0,6226.0,3978.0,2570.7948985389226,2353.1131472144302
21.0,75.0,80377.0,10778.0,13827.0,5551.0,1311.0,664.0,555.4489422688572,510.4854124991395
43.0,77.0,27814.0,7728.0,9969.0,30585.0,5437.0,8193.0,1901.1830462751996,1549.590327373942
54.0,87.0,7687.0,9068.0,6098.0,15794.0,1209.0,3902.0,1597.2364140206569,1051.2035298631108
64.0,78.0,18192.0,3267.0,30257.0,10116.0,4103.0,2486.0,1805.108385804867,761.287045947846
69.0,84.0,7842.0,9554.0,20234.0,44903.0,5837.0,2587.0,2129.8291951339997,1597.362865899513
47.0,80.0,59767.0,20779.0,2492.0,15644.0,762.0,961.0,667.9557853443636,419.1036270475948
29.0,70.0,243899.0,24964.0,8006.0,8838.0,2630.0,1342.0,844.455647142947,531.7993333472433
38.0,60.0,907199.0,35875.0,9381.0,62271.0,17474.0,11984.0,8063.530152176157,6015.596334465622
50.0,47.0,176882.0,4286.0,1801.0,2457.0,1097.0,889.0,519.7346083429694,401.1610246054905
56.0,51.0,78127.0,6612.0,8921.0,5186.0,1997.0,968.0,856.4422019923222,715.6519242043404
81.0,53.0,370762.0,81361.0,102714.0,48041.0,68773.0,59903.0,28384.55218552911,18567.11046796462
75.0,51.0,1343352.0,101703.0,105097.0,14486.0,24727.0,13269.0,8401.100512149056,4159.4512932636635
57.0,64.0,23796.0,9072.0,35069.0,29858.0,7174.0,1812.0,2300.7485037518327,1694.6111063873
51.0,67.0,6018.0,13165.0,17151.0,18745.0,3793.0,1290.0,1522.216673483902,1015.5587290255496
47.0,57.0,200589.0,18252.0,4450.0,3039.0,7270.0,3970.0,2083.4516580914983,1335.7209733382997
27.0,44.0,29821.0,80546.0,12962.0,3244.0,3175.0,1263.0,986.5365354218239,579.7689575276958
44.0,30.0,177943.0,18945.0,15472.0,13095.0,14880.0,4236.0,4038.085120197558,3055.082429517111
61.0,20.0,77970.0,14315.0,4462.0,5285.0,3711.0,2372.0,2122.7966252157007,1537.8406845193656
40.0,23.0,225377.0,39502.0,10809.0,5441.0,3185.0,1602.0,1284.788474998609,885.9613168568338
47.0,34.0,1969424.0,327113.0,113008.0,97071.0,16679.0,12674.0,5083.571659779316,3539.630235830083
29.0,24.0,139496.0,47843.0,9578.0,1919.0,1014.0,1328.0,756.4731882589182,790.4039577811956
20.0,26.0,46765.0,8798.0,2921.0,4700.0,2704.0,839.0,807.4592213749103,599.3096604772093
13.0,24.0,248722.0,83689.0,23471.0,5569.0,4106.0,1820.0,1360.0813102688487,729.527315251874
14.0,14.0,341127.0,112611.0,19927.0,3691.0,6241.0,3381.0,2650.345492676035,2134.2453702298103
11.0,13.0,71159.0,56296.0,5456.0,5780.0,1126.0,1223.0,646.0790751522068,370.0002838017121
8.0,8.0,122573.0,38074.0,6324.0,8367.0,8709.0,2036.0,2690.2170743656543,1355.1722389781573
40.0,3.0,471854.0,78865.0,7200.0,22656.0,30008.0,26379.0,15140.243877603833,15241.135247219216
40.0,10.0,146978.0,70144.0,20055.0,10018.0,5310.0,2437.0,1526.6803973112244,947.6384881221604
66.0,24.0,1179071.0,5240.0,19618.0,6873.0,12377.0,5625.0,4225.1258001585,2659.773343476825
83.0,23.0,939433.0,50875.0,15578.0,8517.0,31088.0,12018.0,7538.174967495607,5349.0800353001
66.0,26.0,584611.0,34364.0,2292.0,12854.0,5800.0,2997.0,1807.407052323331,1385.021338494308
